index,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
50000,0.9983482360839844,0.01611463353037834,0.9968656897544861,0.9504608511924744,0.9933390021324158,0.9995075464248657,0.020865648984909058,0.9409197568893433,0.9987301230430603,0.6571882367134094,0.021205149590969086,0.031293611973524094,0.02142186276614666,0.043741874396800995,0.04561863839626312,0.08561324328184128,0.056805405765771866,0.06154455989599228,0.011424283497035503,0.6282893419265747,0.9948471784591675,0.9126116037368774,0.018330685794353485,0.9852516651153564,0.05057455971837044,0.9958141446113586
50001,0.015604749321937561,0.9740592241287231,0.6933866143226624,0.05009687691926956,0.9991582632064819,0.023232968524098396,0.9952257871627808,0.0489029698073864,0.9781990051269531,0.5671738386154175,0.988460898399353,0.9787635803222656,0.013631641864776611,0.013880777172744274,0.92628014087677,0.9925375580787659,0.3183848559856415,0.5686848163604736,0.047347910702228546,0.03384804353117943,0.9959856867790222,0.9928389191627502,0.01728815957903862,0.009158379398286343,0.03529734909534454,0.012959951534867287
50002,0.05876677855849266,0.0320134162902832,0.874200165271759,0.9969924688339233,0.9796153903007507,0.026724398136138916,0.991661548614502,0.4339654743671417,0.9997400641441345,0.2651095390319824,0.8825775384902954,0.8933311104774475,0.21136575937271118,0.560681939125061,0.017099585384130478,0.9982990622520447,0.020821569487452507,0.9714666604995728,0.9997574687004089,0.052353668957948685,0.9958135485649109,0.1936149299144745,0.9964216947555542,0.028526049107313156,0.08629421889781952,0.9734878540039062
50003,0.991259753704071,0.9735931158065796,0.013993537053465843,0.11141705513000488,0.002308859024196863,0.9470483064651489,0.9954505562782288,0.17706778645515442,0.9717356562614441,0.07258563488721848,0.9975074529647827,0.9669440388679504,0.9866503477096558,0.015427404083311558,0.006985262036323547,0.9873642325401306,0.022068319842219353,0.9433574676513672,0.021709833294153214,0.9992691874504089,0.00506883068010211,0.03797943517565727,0.035313982516527176,0.994765043258667,0.11494074016809464,0.9646795988082886
50004,0.01861872337758541,0.006378778722137213,0.9560199975967407,0.01242482103407383,0.9976503252983093,0.9933671355247498,0.018616799265146255,0.010117900557816029,0.026256628334522247,0.024452868849039078,0.0077170440927147865,0.9779390692710876,0.9986101388931274,0.013441691175103188,0.9897462129592896,0.11442017555236816,0.9952821135520935,0.44649744033813477,0.9974103569984436,0.9991412162780762,0.7661587595939636,0.10689102113246918,0.9988952875137329,0.007416225038468838,0.1482238918542862,0.05909044295549393
50005,0.045674458146095276,0.9955477714538574,0.995864987373352,0.02607824094593525,0.015356196090579033,0.32557937502861023,0.03164960816502571,0.03197722136974335,0.1390729397535324,0.9855664968490601,0.037566643208265305,0.20272013545036316,0.06720634549856186,0.9570990800857544,0.9891583919525146,0.03481845557689667,0.9949085116386414,0.03762868419289589,0.02976313605904579,0.10001584887504578,0.5393129587173462,0.15545159578323364,0.9966991543769836,0.6426396369934082,0.9826679825782776,0.039077527821063995
50006,0.06421170383691788,0.04840734228491783,0.980319082736969,0.11072002351284027,0.993676483631134,0.6034138202667236,0.0825936496257782,0.031589943915605545,0.10102200508117676,0.23494969308376312,0.06094300001859665,0.22656376659870148,0.051651399582624435,0.0636180117726326,0.01789022982120514,0.3443792760372162,0.9767709970474243,0.10102272033691406,0.9911106824874878,0.9994893074035645,0.9997633099555969,0.09332168102264404,0.9697481989860535,0.3639855682849884,0.07443449646234512,0.11115961521863937
50007,0.9454780220985413,0.012017497792840004,0.9962693452835083,0.018763020634651184,0.9878175854682922,0.046878308057785034,0.008234240114688873,0.9764249324798584,0.0262605007737875,0.7399891018867493,0.005089809652417898,0.10975643247365952,0.996391236782074,0.006401658523827791,0.9967361092567444,0.03616740182042122,0.2526179850101471,0.1767934411764145,0.0035754083655774593,0.2617286145687103,0.020760588347911835,0.9907203912734985,0.9814656972885132,0.6499145030975342,0.014162424020469189,0.009518168866634369
50008,0.15210649371147156,0.010496909730136395,0.49774718284606934,0.013492315076291561,0.9983363747596741,0.6066207885742188,0.9248895645141602,0.062107134610414505,0.998450756072998,0.9999547004699707,0.031201327219605446,0.09459270536899567,0.9851138591766357,0.0602450892329216,0.11169498413801193,0.9094247221946716,0.3425486385822296,0.9939343333244324,0.3484603762626648,0.046425171196460724,0.7288411259651184,0.996986448764801,0.9681313037872314,0.02976982109248638,0.40077680349349976,0.9999977350234985
50009,0.9726866483688354,0.8453081250190735,0.9418771862983704,0.9954417943954468,0.018620386719703674,0.07794158160686493,0.5021445155143738,0.9995383024215698,0.060295507311820984,0.11783751845359802,0.3404768109321594,0.9973593354225159,0.06889509409666061,0.9059137105941772,0.028886595740914345,0.036330536007881165,0.9701327681541443,0.9808169007301331,0.040776707231998444,0.9714820981025696,0.9629184007644653,0.0345563143491745,0.12696430087089539,0.015689916908740997,0.34603258967399597,0.9971025586128235
