index,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
50000,0.9892145991325378,0.00834081694483757,0.9998750686645508,0.15329663455486298,0.9973142743110657,0.9990647435188293,0.04840864613652229,0.9880698323249817,0.9957938194274902,0.23590631783008575,0.04973465949296951,0.034508928656578064,0.009808260947465897,0.19436144828796387,0.2773990333080292,0.9816638231277466,0.01861342042684555,0.01797853223979473,0.1941744089126587,0.7923260927200317,0.9989476799964905,0.16343210637569427,0.026889551430940628,0.9716976881027222,0.008508337661623955,0.9921606183052063
50001,0.0029174028895795345,0.9961028099060059,0.6177201867103577,0.011044819839298725,0.9983736276626587,0.02324718050658703,0.9674398303031921,0.008512799628078938,0.9759916067123413,0.9830478429794312,0.9993696808815002,0.9987706542015076,0.01242809183895588,0.0055616190657019615,0.9839833974838257,0.9910810589790344,0.019767604768276215,0.18085865676403046,0.1584651619195938,0.012975416146218777,0.9635306596755981,0.9751853942871094,0.05566086620092392,0.0029858152847737074,0.01841968297958374,0.00731571763753891
50002,0.028959669172763824,0.005623672157526016,0.3011801540851593,0.9995995163917542,0.9913359880447388,0.06988335400819778,0.9901900887489319,0.09873846918344498,0.9998732805252075,0.21356835961341858,0.714189887046814,0.9988352656364441,0.16046695411205292,0.8525584936141968,0.005724536720663309,0.9919134378433228,0.026358921080827713,0.9931148886680603,0.9856305718421936,0.02371988631784916,0.9987853169441223,0.07213027775287628,0.9877225160598755,0.022094933316111565,0.06333771347999573,0.9902030229568481
50003,0.990217387676239,0.9993292093276978,0.03323184326291084,0.14540863037109375,0.017024677246809006,0.9984875917434692,0.22665512561798096,0.9954719543457031,0.09047788381576538,0.039975810796022415,0.9987359642982483,0.9990752935409546,0.9953047037124634,0.011432778090238571,0.006899700500071049,0.9971936345100403,0.09077645093202591,0.04717705026268959,0.9253445267677307,0.998932421207428,0.013975369744002819,0.008352073840796947,0.004266903270035982,0.9985174536705017,0.25767257809638977,0.9946640729904175
50004,0.09157013893127441,0.0079682981595397,0.9956811666488647,0.03430677205324173,0.9989885687828064,0.9934569001197815,0.09771684557199478,0.004714635666459799,0.06944442540407181,0.0042745983228087425,0.009381589479744434,0.9229460954666138,0.9952880144119263,0.007298475131392479,0.9734438061714172,0.02227696031332016,0.9658782482147217,0.3104756772518158,0.9930363297462463,0.9965564012527466,0.459723562002182,0.6348182559013367,0.9923950433731079,0.005654023960232735,0.010935966856777668,0.13146324455738068
50005,0.054685864597558975,0.9994633793830872,0.974711537361145,0.01902378909289837,0.008616871200501919,0.6344640851020813,0.018476098775863647,0.015244812704622746,0.1465299278497696,0.9865649938583374,0.5696654319763184,0.16968633234500885,0.037423063069581985,0.9604006409645081,0.9955139756202698,0.12717440724372864,0.9782328605651855,0.024767883121967316,0.05222162976861,0.11854638904333115,0.9365489482879639,0.07178780436515808,0.9962118864059448,0.010760125704109669,0.9845049381256104,0.047256194055080414
50006,0.014806865714490414,0.1549651324748993,0.9959405660629272,0.34051573276519775,0.9935941100120544,0.2219098061323166,0.045658256858587265,0.10647119581699371,0.2698737382888794,0.02400890178978443,0.06768273562192917,0.48516181111335754,0.027261393144726753,0.05240577459335327,0.04671676829457283,0.24835313856601715,0.9809638261795044,0.07414039224386215,0.9610077738761902,0.9850318431854248,0.989446222782135,0.10989976674318314,0.9906580448150635,0.9513893127441406,0.07288455963134766,0.0301143079996109
50007,0.9940547347068787,0.00947065744549036,0.9931366443634033,0.009796342812478542,0.995668888092041,0.015594543889164925,0.018169956281781197,0.9784246683120728,0.028445934876799583,0.9743210673332214,0.051080040633678436,0.0644749253988266,0.9720187187194824,0.021604403853416443,0.9927902221679688,0.01120049599558115,0.03690723702311516,0.08012885600328445,0.004567102529108524,0.2524140477180481,0.018514133989810944,0.99482661485672,0.9235247373580933,0.8558677434921265,0.011622176505625248,0.023937830701470375
50008,0.19396758079528809,0.03198796138167381,0.9859405755996704,0.006410663947463036,0.9971839785575867,0.7543331384658813,0.6128990054130554,0.0810944065451622,0.9934964179992676,0.9994747042655945,0.2401721477508545,0.7158133387565613,0.9605417251586914,0.12519608438014984,0.7696784138679504,0.11914391070604324,0.7546465992927551,0.9910531640052795,0.25864532589912415,0.03431157395243645,0.7244260907173157,0.9882616400718689,0.9617297649383545,0.0015971671091392636,0.24638572335243225,0.999990701675415
50009,0.9992086291313171,0.03990408778190613,0.42709922790527344,0.9992944002151489,0.010909601114690304,0.15260152518749237,0.9962781071662903,0.9929280877113342,0.41976654529571533,0.04194869473576546,0.045807138085365295,0.9999226331710815,0.03982061147689819,0.9894450306892395,0.0024917451664805412,0.014885051175951958,0.9907264709472656,0.9947654008865356,0.008980873972177505,0.9978179931640625,0.9977186918258667,0.014991619624197483,0.04366537556052208,0.14965197443962097,0.08681389689445496,0.9996953010559082
